trade_dt,fs_info_type,positions,num_cont
20140617,2,6289.0,1.0
20140617,3,6941.0,1.0
20140618,2,6283.0,1.0
20140618,3,6933.0,1.0
20140619,2,6270.0,1.0
20140619,3,6931.0,1.0
20140620,2,6149.0,1.0
20140620,3,6873.0,1.0
20140623,2,6234.0,1.0
20140623,3,6917.0,1.0
20140624,2,6232.0,1.0
20140624,3,6945.0,1.0
20140625,2,6303.0,1.0
20140625,3,6984.0,1.0
20140626,2,6303.0,1.0
20140626,3,7095.0,1.0
20140627,2,6360.0,1.0
20140627,3,7137.0,1.0
20140630,2,6402.0,1.0
20140630,3,7181.0,1.0
20140701,2,6430.0,1.0
20140701,3,7205.0,1.0
20140702,2,6512.0,1.0
20140702,3,7158.0,1.0
20140703,2,6361.0,1.0
20140703,3,7042.0,1.0
20140704,2,6470.0,1.0
20140704,3,7162.0,1.0
20140707,2,6333.0,1.0
20140707,3,7084.0,1.0
20140708,2,6482.0,1.0
20140708,3,7249.0,1.0
20140709,2,6488.0,1.0
20140709,3,7223.0,1.0
20140710,2,6468.0,1.0
20140710,3,7221.0,1.0
20140711,2,6438.0,1.0
20140711,3,7262.0,1.0
20140714,2,6401.0,1.0
20140714,3,7184.0,1.0
20140715,2,6340.0,1.0
20140715,3,6910.0,1.0
20140716,2,6406.0,1.0
20140716,3,7058.0,1.0
20140717,2,6407.0,1.0
20140717,3,7405.0,1.0
20140718,2,6285.0,1.0
20140718,3,7343.0,1.0
20140721,2,6254.0,1.0
20140721,3,7247.0,1.0
20140722,2,6172.0,1.0
20140722,3,7064.0,1.0
20140723,2,6042.0,1.0
20140723,3,6927.0,1.0
20140724,2,5795.0,1.0
20140724,3,6649.0,1.0
20140725,2,5835.0,1.0
20140725,3,6807.0,1.0
20140728,2,5754.0,1.0
20140728,3,6641.0,1.0
20140729,2,5671.0,1.0
20140729,3,6548.0,1.0
20140730,2,6026.0,1.0
20140730,3,6862.0,1.0
20140731,2,5965.0,1.0
20140731,3,6869.0,1.0
20140801,2,5821.0,1.0
20140801,3,6699.0,1.0
20140804,2,5691.0,1.0
20140804,3,6555.0,1.0
20140805,2,5638.0,1.0
20140805,3,6512.0,1.0
20140806,2,5481.0,1.0
20140806,3,6311.0,1.0
20140807,2,5326.0,1.0
20140807,3,6116.0,1.0
20140808,2,5200.0,1.0
20140808,3,5894.0,1.0
20140811,2,4605.0,1.0
20140811,3,5292.0,1.0
20140812,2,4300.0,1.0
20140812,3,4879.0,1.0
20140813,2,2922.0,1.0
20140813,3,3157.0,1.0
20140814,2,2363.0,1.0
20140814,3,2567.0,1.0
20140815,2,1854.0,1.0
20140815,3,1971.0,1.0
20140818,2,1561.0,1.0
20140818,3,1646.0,1.0
20140819,2,1225.0,1.0
20140819,3,1290.0,1.0
20140820,2,1048.0,1.0
20140820,3,1105.0,1.0
20140821,2,715.0,1.0
20140821,3,757.0,1.0
20140822,2,622.0,1.0
20140822,3,651.0,1.0
20140825,2,624.0,1.0
20140825,3,644.0,1.0
20140826,2,617.0,1.0
20140826,3,625.0,1.0
20140827,2,574.0,1.0
20140827,3,575.0,1.0
20140828,2,541.0,1.0
20140828,3,541.0,1.0
20140829,2,497.0,1.0
20140829,3,497.0,1.0
20140901,2,477.0,1.0
20140901,3,477.0,1.0
20140902,2,442.0,1.0
20140902,3,442.0,1.0
20140903,2,416.0,1.0
20140903,3,416.0,1.0
20140904,2,392.0,1.0
20140904,3,392.0,1.0
20140905,2,369.0,1.0
20140905,3,369.0,1.0
20140909,2,9033.0,2.0
20140909,3,10245.0,2.0
20140910,2,9183.0,2.0
20140910,3,10345.0,2.0
20140911,2,9229.0,2.0
20140911,3,10385.0,2.0
20140912,2,8944.0,2.0
20140912,3,10123.0,2.0
20140915,2,8913.0,1.0
20140915,3,10426.0,1.0
20140916,2,8991.0,1.0
20140916,3,10664.0,1.0
20140917,2,8184.0,1.0
20140917,3,9724.0,1.0
20140918,2,9080.0,1.0
20140918,3,10786.0,1.0
20140919,2,9389.0,1.0
20140919,3,11104.0,1.0
20140922,2,9596.0,1.0
20140922,3,11330.0,1.0
20140923,2,8814.0,1.0
20140923,3,10487.0,1.0
20140924,2,9011.0,1.0
20140924,3,10492.0,1.0
20140925,2,8955.0,1.0
20140925,3,10482.0,1.0
20140926,2,8738.0,1.0
20140926,3,10108.0,1.0
20140929,2,8567.0,1.0
20140929,3,9924.0,1.0
20140930,2,8479.0,1.0
20140930,3,9956.0,1.0
20141008,2,8252.0,1.0
20141008,3,9870.0,1.0
20141009,2,8092.0,1.0
20141009,3,9825.0,1.0
20141010,2,8085.0,1.0
20141010,3,9814.0,1.0
20141013,2,8244.0,1.0
20141013,3,10107.0,1.0
20141014,2,8237.0,1.0
20141014,3,10183.0,1.0
20141015,2,8468.0,1.0
20141015,3,10114.0,1.0
20141016,2,8541.0,1.0
20141016,3,10209.0,1.0
20141017,2,8566.0,1.0
20141017,3,10317.0,1.0
20141020,2,8684.0,1.0
20141020,3,10374.0,1.0
20141021,2,8799.0,1.0
20141021,3,10097.0,1.0
20141022,2,9120.0,1.0
20141022,3,10361.0,1.0
20141023,2,9036.0,1.0
20141023,3,10387.0,1.0
20141024,2,8766.0,1.0
20141024,3,10314.0,1.0
20141027,2,8540.0,1.0
20141027,3,9996.0,1.0
20141028,2,8498.0,1.0
20141028,3,10179.0,1.0
20141029,2,8380.0,1.0
20141029,3,9815.0,1.0
20141030,2,7484.0,1.0
20141030,3,8481.0,1.0
20141031,2,6982.0,1.0
20141031,3,7908.0,1.0
20141103,2,5954.0,1.0
20141103,3,6824.0,1.0
20141104,2,5179.0,1.0
20141104,3,5948.0,1.0
20141105,2,12789.0,2.0
20141105,3,14292.0,2.0
20141106,2,13475.0,2.0
20141106,3,15051.0,2.0
20141107,2,13276.0,2.0
20141107,3,15362.0,2.0
20141110,2,13202.0,2.0
20141110,3,15412.0,2.0
20141111,2,12986.0,2.0
20141111,3,15023.0,2.0
20141112,2,13463.0,2.0
20141112,3,15701.0,2.0
20141113,2,14279.0,2.0
20141113,3,16794.0,2.0
20141114,2,15682.0,2.0
20141114,3,17899.0,2.0
20141117,2,16014.0,2.0
20141117,3,18218.0,2.0
20141118,2,16269.0,2.0
20141118,3,18980.0,2.0
20141119,2,16138.0,2.0
20141119,3,18735.0,2.0
20141120,2,16103.0,2.0
20141120,3,18738.0,2.0
20141121,2,15658.0,2.0
20141121,3,18848.0,2.0
20141124,2,14459.0,2.0
20141124,3,17335.0,2.0
20141125,2,13771.0,2.0
20141125,3,16276.0,2.0
20141126,2,14419.0,2.0
20141126,3,17201.0,2.0
20141127,2,14372.0,2.0
20141127,3,17377.0,2.0
20141128,2,14255.0,2.0
20141128,3,17411.0,2.0
20141201,2,14477.0,2.0
20141201,3,18214.0,2.0
20141202,2,15325.0,2.0
20141202,3,18784.0,2.0
20141203,2,15587.0,2.0
20141203,3,19475.0,2.0
20141204,2,15621.0,2.0
20141204,3,19433.0,2.0
20141205,2,16200.0,2.0
20141205,3,20434.0,2.0
20141208,2,17086.0,2.0
20141208,3,22156.0,2.0
20141209,2,17531.0,2.0
20141209,3,22477.0,2.0
20141210,2,16768.0,2.0
20141210,3,21458.0,2.0
20141211,2,17505.0,2.0
20141211,3,21583.0,2.0
20141212,2,17037.0,2.0
20141212,3,21417.0,2.0
20141215,2,16877.0,1.0
20141215,3,21394.0,1.0
20141216,2,17059.0,1.0
20141216,3,21330.0,1.0
20141217,2,17574.0,1.0
20141217,3,21644.0,1.0
20141218,2,17462.0,1.0
20141218,3,21303.0,1.0
20141219,2,16570.0,1.0
20141219,3,20544.0,1.0
20141222,2,16357.0,1.0
20141222,3,20033.0,1.0
20141223,2,16347.0,1.0
20141223,3,20265.0,1.0
20141224,2,15647.0,1.0
20141224,3,19341.0,1.0
20141225,2,15653.0,1.0
20141225,3,19277.0,1.0
20141226,2,15479.0,1.0
20141226,3,19361.0,1.0
20141229,2,15217.0,1.0
20141229,3,19058.0,1.0
20141230,2,15314.0,1.0
20141230,3,18758.0,1.0
20141231,2,14853.0,1.0
20141231,3,18390.0,1.0
20150105,2,14483.0,1.0
20150105,3,17918.0,1.0
20150106,2,14130.0,1.0
20150106,3,17558.0,1.0
20150107,2,14211.0,1.0
20150107,3,17615.0,1.0
20150108,2,14381.0,1.0
20150108,3,17910.0,1.0
20150109,2,14346.0,1.0
20150109,3,17721.0,1.0
20150112,2,14380.0,1.0
20150112,3,17807.0,1.0
20150113,2,14445.0,1.0
20150113,3,17997.0,1.0
20150114,2,14507.0,1.0
20150114,3,17724.0,1.0
20150115,2,14361.0,1.0
20150115,3,17450.0,1.0
20150116,2,14324.0,1.0
20150116,3,17505.0,1.0
20150119,2,13696.0,1.0
20150119,3,16621.0,1.0
20150120,2,13898.0,1.0
20150120,3,16949.0,1.0
20150121,2,13661.0,1.0
20150121,3,16640.0,1.0
20150122,2,13412.0,1.0
20150122,3,16635.0,1.0
20150123,2,13231.0,1.0
20150123,3,16183.0,1.0
20150126,2,12752.0,1.0
20150126,3,15739.0,1.0
20150127,2,12525.0,1.0
20150127,3,15280.0,1.0
20150128,2,11971.0,1.0
20150128,3,14722.0,1.0
20150129,2,11656.0,1.0
20150129,3,14304.0,1.0
20150130,2,19789.0,2.0
20150130,3,23835.0,2.0
20150202,2,20081.0,2.0
20150202,3,24498.0,2.0
20150203,2,20289.0,2.0
20150203,3,24934.0,2.0
20150204,2,20545.0,2.0
20150204,3,25053.0,2.0
20150205,2,20765.0,2.0
20150205,3,24737.0,2.0
20150206,2,20832.0,2.0
20150206,3,25165.0,2.0
20150209,2,21336.0,2.0
20150209,3,25716.0,2.0
20150210,2,22933.0,2.0
20150210,3,27352.0,2.0
20150211,2,23075.0,2.0
20150211,3,28703.0,2.0
20150212,2,23087.0,2.0
20150212,3,29053.0,2.0
20150213,2,22707.0,2.0
20150213,3,28747.0,2.0
20150216,2,22694.0,2.0
20150216,3,28633.0,2.0
20150217,2,22065.0,2.0
20150217,3,28438.0,2.0
20150225,2,23203.0,2.0
20150225,3,29498.0,2.0
20150226,2,23848.0,2.0
20150226,3,29829.0,2.0
20150227,2,24212.0,2.0
20150227,3,30265.0,2.0
20150302,2,24527.0,2.0
20150302,3,30118.0,2.0
20150303,2,25004.0,2.0
20150303,3,30946.0,2.0
20150304,2,25916.0,2.0
20150304,3,32026.0,2.0
20150305,2,26798.0,2.0
20150305,3,32708.0,2.0
20150306,2,27107.0,2.0
20150306,3,32905.0,2.0
20150309,2,27167.0,2.0
20150309,3,32330.0,2.0
20150310,2,27266.0,2.0
20150310,3,32805.0,2.0
20150311,2,27073.0,2.0
20150311,3,33189.0,2.0
20150312,2,28016.0,2.0
20150312,3,34353.0,2.0
20150313,2,27943.0,2.0
20150313,3,35262.0,2.0
20150316,2,28738.0,1.0
20150316,3,35531.0,1.0
20150317,2,28513.0,1.0
20150317,3,36563.0,1.0
20150318,2,28932.0,1.0
20150318,3,36297.0,1.0
20150319,2,28669.0,1.0
20150319,3,36493.0,1.0
20150320,2,27722.0,1.0
20150320,3,35634.0,1.0
20150323,2,27324.0,1.0
20150323,3,35100.0,1.0
20150324,2,27215.0,1.0
20150324,3,34646.0,1.0
20150325,2,27176.0,1.0
20150325,3,35167.0,1.0
20150326,2,27460.0,1.0
20150326,3,34346.0,1.0
20150327,2,28441.0,1.0
20150327,3,35001.0,1.0
20150330,2,28072.0,1.0
20150330,3,34885.0,1.0
20150331,2,28454.0,1.0
20150331,3,35120.0,1.0
20150401,2,27782.0,1.0
20150401,3,34549.0,1.0
20150402,2,27227.0,1.0
20150402,3,33560.0,1.0
20150403,2,26773.0,1.0
20150403,3,32290.0,1.0
20150407,2,26984.0,1.0
20150407,3,32029.0,1.0
20150408,2,27612.0,1.0
20150408,3,32000.0,1.0
20150409,2,27960.0,1.0
20150409,3,32456.0,1.0
20150410,2,28661.0,1.0
20150410,3,33186.0,1.0
20150413,2,28320.0,1.0
20150413,3,34195.0,1.0
20150414,2,28324.0,1.0
20150414,3,34077.0,1.0
20150415,2,28190.0,1.0
20150415,3,35014.0,1.0
20150416,2,27898.0,1.0
20150416,3,35509.0,1.0
20150417,2,27866.0,1.0
20150417,3,36034.0,1.0
20150420,2,27376.0,1.0
20150420,3,35384.0,1.0
20150421,2,26883.0,1.0
20150421,3,34511.0,1.0
20150422,2,27228.0,1.0
20150422,3,35126.0,1.0
20150423,2,27304.0,1.0
20150423,3,35134.0,1.0
20150424,2,27562.0,1.0
20150424,3,35403.0,1.0
20150427,2,28187.0,1.0
20150427,3,35872.0,1.0
20150428,2,28206.0,1.0
20150428,3,35747.0,1.0
20150429,2,28359.0,1.0
20150429,3,36196.0,1.0
20150430,2,28120.0,1.0
20150430,3,36032.0,1.0
20150504,2,27574.0,1.0
20150504,3,35372.0,1.0
20150505,2,26499.0,1.0
20150505,3,34552.0,1.0
20150506,2,33462.0,2.0
20150506,3,41494.0,2.0
20150507,2,32634.0,2.0
20150507,3,39873.0,2.0
20150508,2,31918.0,2.0
20150508,3,39237.0,2.0
20150511,2,31221.0,2.0
20150511,3,38488.0,2.0
20150512,2,30810.0,2.0
20150512,3,36877.0,2.0
20150513,2,30499.0,2.0
20150513,3,36592.0,2.0
20150514,2,31018.0,2.0
20150514,3,36535.0,2.0
20150515,2,30692.0,2.0
20150515,3,35430.0,2.0
20150518,2,31400.0,2.0
20150518,3,35972.0,2.0
20150519,2,31923.0,2.0
20150519,3,36545.0,2.0
20150520,2,31211.0,2.0
20150520,3,36365.0,2.0
20150521,2,30326.0,2.0
20150521,3,35685.0,2.0
20150522,2,29685.0,2.0
20150522,3,35375.0,2.0
20150525,2,29215.0,2.0
20150525,3,34792.0,2.0
20150526,2,26563.0,2.0
20150526,3,31954.0,2.0
20150527,2,25871.0,2.0
20150527,3,31298.0,2.0
20150528,2,25200.0,2.0
20150528,3,30433.0,2.0
20150529,2,23841.0,2.0
20150529,3,29130.0,2.0
20150601,2,22249.0,2.0
20150601,3,27228.0,2.0
20150602,2,21380.0,2.0
20150602,3,26036.0,2.0
20150603,2,21058.0,2.0
20150603,3,25494.0,2.0
20150604,2,20628.0,2.0
20150604,3,24850.0,2.0
20150605,2,20507.0,2.0
20150605,3,24745.0,2.0
20150608,2,20028.0,2.0
20150608,3,24298.0,2.0
20150609,2,19677.0,2.0
20150609,3,23779.0,2.0
20150610,2,18932.0,2.0
20150610,3,23196.0,2.0
20150611,2,18976.0,2.0
20150611,3,23577.0,2.0
20150612,2,18191.0,2.0
20150612,3,22609.0,2.0
20150615,2,17823.0,1.0
20150615,3,22502.0,1.0
20150616,2,18035.0,1.0
20150616,3,23042.0,1.0
20150617,2,17637.0,1.0
20150617,3,22617.0,1.0
20150618,2,17545.0,1.0
20150618,3,22246.0,1.0
20150619,2,17406.0,1.0
20150619,3,21856.0,1.0
20150623,2,17413.0,1.0
20150623,3,21625.0,1.0
20150624,2,17299.0,1.0
20150624,3,21290.0,1.0
20150625,2,17117.0,1.0
20150625,3,21009.0,1.0
20150626,2,16943.0,1.0
20150626,3,20530.0,1.0
20150629,2,16833.0,1.0
20150629,3,20199.0,1.0
20150630,2,16132.0,1.0
20150630,3,19435.0,1.0
20150701,2,16101.0,1.0
20150701,3,19583.0,1.0
20150702,2,15851.0,1.0
20150702,3,19109.0,1.0
20150703,2,15529.0,1.0
20150703,3,18548.0,1.0
20150706,2,15366.0,1.0
20150706,3,18305.0,1.0
20150707,2,14892.0,1.0
20150707,3,18010.0,1.0
20150708,2,15137.0,1.0
20150708,3,17797.0,1.0
20150709,2,14889.0,1.0
20150709,3,17292.0,1.0
20150710,2,14786.0,1.0
20150710,3,17488.0,1.0
20150713,2,14760.0,1.0
20150713,3,17265.0,1.0
20150714,2,14758.0,1.0
20150714,3,17426.0,1.0
20150715,2,14894.0,1.0
20150715,3,17552.0,1.0
20150716,2,14867.0,1.0
20150716,3,17665.0,1.0
20150717,2,14930.0,1.0
20150717,3,17597.0,1.0
20150720,2,14827.0,1.0
20150720,3,17649.0,1.0
20150721,2,14953.0,1.0
20150721,3,17468.0,1.0
20150722,2,14863.0,1.0
20150722,3,17444.0,1.0
20150723,2,15104.0,1.0
20150723,3,17919.0,1.0
20150724,2,14941.0,1.0
20150724,3,17957.0,1.0
20150727,2,14860.0,1.0
20150727,3,17679.0,1.0
20150728,2,14776.0,1.0
20150728,3,17739.0,1.0
20150729,2,14628.0,1.0
20150729,3,17526.0,1.0
20150730,2,14272.0,1.0
20150730,3,17086.0,1.0
20150731,2,13944.0,1.0
20150731,3,15750.0,1.0
20150803,2,13688.0,1.0
20150803,3,15495.0,1.0
20150804,2,13029.0,1.0
20150804,3,15011.0,1.0
20150805,2,12665.0,1.0
20150805,3,14267.0,1.0
20150806,2,11794.0,1.0
20150806,3,13617.0,1.0
20150807,2,11363.0,1.0
20150807,3,13064.0,1.0
