trade_dt,fs_info_type,positions,num_cont
20160413,3,40548.0,2.0
20160414,2,43152.0,2.0
20160414,3,42161.0,2.0
20160415,2,42557.0,2.0
20160415,3,41907.0,2.0
20160418,2,42328.0,2.0
20160418,3,41329.0,2.0
20160419,2,42503.0,2.0
20160419,3,41989.0,2.0
20160420,2,44687.0,2.0
20160420,3,43811.0,2.0
20160421,2,45012.0,2.0
20160421,3,43751.0,2.0
20160422,2,44342.0,2.0
20160422,3,43770.0,2.0
20160425,2,44822.0,2.0
20160425,3,43736.0,2.0
20160426,2,41431.0,2.0
20160426,3,40263.0,2.0
20160427,2,39613.0,2.0
20160427,3,38408.0,2.0
20160428,2,39269.0,2.0
20160428,3,37588.0,2.0
20160429,2,39431.0,2.0
20160429,3,38117.0,2.0
20160503,2,38780.0,2.0
20160503,3,37454.0,2.0
20160504,2,38308.0,2.0
20160504,3,36789.0,2.0
20160505,2,37670.0,2.0
20160505,3,35750.0,2.0
20160506,2,36796.0,2.0
20160506,3,35333.0,2.0
20160509,2,36452.0,2.0
20160509,3,35083.0,2.0
20160510,2,34309.0,2.0
20160510,3,32373.0,2.0
20160511,2,33596.0,2.0
20160511,3,31007.0,2.0
20160512,2,33032.0,2.0
20160512,3,30163.0,2.0
20160513,2,32323.0,2.0
20160513,3,29536.0,2.0
20160516,2,32059.0,2.0
20160516,3,29786.0,2.0
20160517,2,32243.0,2.0
20160517,3,30556.0,2.0
20160518,2,32473.0,2.0
20160518,3,31170.0,2.0
20160519,2,31780.0,2.0
20160519,3,30601.0,2.0
20160520,2,30852.0,2.0
20160520,3,29095.0,2.0
20160523,2,30488.0,2.0
20160523,3,28991.0,2.0
20160524,2,30932.0,2.0
20160524,3,29433.0,2.0
20160525,2,30996.0,2.0
20160525,3,29465.0,2.0
20160526,2,31210.0,2.0
20160526,3,29129.0,2.0
20160527,2,30929.0,2.0
20160527,3,29221.0,2.0
20160530,2,31129.0,2.0
20160530,3,29425.0,2.0
20160531,2,31669.0,2.0
20160531,3,30042.0,2.0
20160601,2,32020.0,2.0
20160601,3,30053.0,2.0
20160602,2,32131.0,2.0
20160602,3,30138.0,2.0
20160603,2,31985.0,2.0
20160603,3,30692.0,2.0
20160606,2,31847.0,2.0
20160606,3,30998.0,2.0
20160607,2,31766.0,2.0
20160607,3,30697.0,2.0
20160608,2,31853.0,2.0
20160608,3,30565.0,2.0
20160613,2,30060.0,2.0
20160613,3,29340.0,2.0
20160614,2,30506.0,1.0
20160614,3,30122.0,1.0
20160615,2,31029.0,1.0
20160615,3,30311.0,1.0
20160616,2,31544.0,1.0
20160616,3,31055.0,1.0
20160617,2,30738.0,1.0
20160617,3,29977.0,1.0
20160620,2,30199.0,1.0
20160620,3,28956.0,1.0
20160621,2,30480.0,1.0
20160621,3,29276.0,1.0
20160622,2,29263.0,1.0
20160622,3,27686.0,1.0
20160623,2,29139.0,1.0
20160623,3,27002.0,1.0
20160624,2,28113.0,1.0
20160624,3,26177.0,1.0
20160627,2,27877.0,1.0
20160627,3,25866.0,1.0
20160628,2,27988.0,1.0
20160628,3,25409.0,1.0
20160629,2,27586.0,1.0
20160629,3,24900.0,1.0
20160630,2,26818.0,1.0
20160630,3,24594.0,1.0
20160701,2,26349.0,1.0
20160701,3,24558.0,1.0
20160704,2,37049.0,2.0
20160704,3,33863.0,2.0
20160705,2,36406.0,2.0
20160705,3,33572.0,2.0
20160706,2,36050.0,2.0
20160706,3,33737.0,2.0
